date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:11:35	72566/72566	---MCZ	200	added ('OK')	text/html	etag:W/%2261c30739-11b76%22	https://htmldemo.net/merier/merier/index.html	C:/jalloulimodesty/jalloulimodesty/htmldemo.net/merier/merier/index.html	(from )
15:11:35	405/405	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2025%20Sep%202023%2013:11:36%20GMT	https://htmldemo.net/robots.txt		(from )
15:11:35	305/305	---MC-	200	added ('OK')	image/png	date:Mon,%2025%20Sep%202023%2013:11:36%20GMT	https://htmldemo.net/merier/merier/assets/images/favicon.png	C:/jalloulimodesty/jalloulimodesty/htmldemo.net/merier/merier/assets/images/favicon.png	(from https://htmldemo.net/merier/merier/index.html)
15:11:36	208051/208051	---MCZ	200	added ('OK')	text/css	etag:W/%2261c30760-32cb3%22	https://htmldemo.net/merier/merier/assets/css/vendor/bootstrap.min.css	C:/jalloulimodesty/jalloulimodesty/htmldemo.net/merier/merier/assets/css/vendor/bootstrap.min.css	(from https://htmldemo.net/merier/merier/index.html)
15:11:36	15562/15562	---MCZ	200	added ('OK')	text/css	etag:W/%2261c3075c-3cca%22	https://htmldemo.net/merier/merier/assets/css/plugins/swiper-bundle.min.css	C:/jalloulimodesty/jalloulimodesty/htmldemo.net/merier/merier/assets/css/plugins/swiper-bundle.min.css	(from https://htmldemo.net/merier/merier/index.html)
15:11:36	31018/31018	---MCZ	200	added ('OK')	text/css	etag:W/%2261c3075b-792a%22	https://htmldemo.net/merier/merier/assets/css/plugins/font-awesome.min.css	C:/jalloulimodesty/jalloulimodesty/htmldemo.net/merier/merier/assets/css/plugins/font-awesome.min.css	(from https://htmldemo.net/merier/merier/index.html)
15:11:37	15659/15659	---MCZ	200	added ('OK')	text/css	etag:W/%2261c3075c-3d2b%22	https://htmldemo.net/merier/merier/assets/css/plugins/fancybox.min.css	C:/jalloulimodesty/jalloulimodesty/htmldemo.net/merier/merier/assets/css/plugins/fancybox.min.css	(from https://htmldemo.net/merier/merier/index.html)
15:11:37	4007/4007	---MCZ	200	added ('OK')	text/css	etag:W/%2261c3075b-fa7%22	https://htmldemo.net/merier/merier/assets/css/plugins/nice-select.css	C:/jalloulimodesty/jalloulimodesty/htmldemo.net/merier/merier/assets/css/plugins/nice-select.css	(from https://htmldemo.net/merier/merier/index.html)
15:11:37	216369/216369	---MCZ	200	added ('OK')	text/css	etag:W/%2261c30756-34d31%22	https://htmldemo.net/merier/merier/assets/css/style.css	C:/jalloulimodesty/jalloulimodesty/htmldemo.net/merier/merier/assets/css/style.css	(from https://htmldemo.net/merier/merier/index.html)
15:11:37	2667/2667	---MC-	200	added ('OK')	image/png	date:Mon,%2025%20Sep%202023%2013:11:38%20GMT	https://htmldemo.net/merier/merier/assets/images/logo.png	C:/jalloulimodesty/jalloulimodesty/htmldemo.net/merier/merier/assets/images/logo.png	(from https://htmldemo.net/merier/merier/index.html)
15:11:37	70728/70728	---MCZ	200	added ('OK')	text/html	etag:W/%2261c30739-11448%22	https://htmldemo.net/merier/merier/index-two.html	C:/jalloulimodesty/jalloulimodesty/htmldemo.net/merier/merier/index-two.html	(from https://htmldemo.net/merier/merier/index.html)
15:11:37	65404/65404	---MCZ	200	added ('OK')	text/html	etag:W/%2261c3073d-ff7c%22	https://htmldemo.net/merier/merier/shop.html	C:/jalloulimodesty/jalloulimodesty/htmldemo.net/merier/merier/shop.html	(from https://htmldemo.net/merier/merier/index.html)
